Exidia_glandulosa	0
Neolentinus_lepideus	0
Calocera_cornea	0
Peniophora_sp_CONT	0
Ophiocordyceps_polyrhachis-furcata	0
Saccharomyces_cerevisiae	0
Moelleriella_libera	1
Ascosphaera_apis	0
Beauveria_brongniartii	0
Sporothrix_insectorum	0
Nematocida_displodere	0
Nematocida_sp_ERTm5	0
Stagonospora_sp_SRC1lsM3a	1
Pyrenochaeta_sp_DS3sAY3a	0
Tilletia_caries	0
Tilletia_indica	0
Tilletia_controversa	0
Fonsecaea_multimorphosa	3
Trichophyton_violaceum	0
Akanthomyces_lecanii	1
Fusarium_agapanthi	2
Rhizopogon_vinicolor	0
Emergomyces_africanus	0
Pachysolen_tannophilus	0
Nadsonia_fulvescens	0
Lipomyces_starkeyi	0
Candida_arabinofermentans	0
Tortispora_caseinolytica	0
Pseudogymnoascus_sp_23342-1-I1	0
Pseudogymnoascus_sp_WSF_3629	2
Pseudogymnoascus_sp_24MN13	1
Pseudogymnoascus_sp_05NY08	0
Pseudogymnoascus_sp_03VT05	0
Hanseniaspora_valbyensis	0
Clavispora_lusitaniae	0
Beauveria_bassiana	0
Choanephora_cucurbitarum	0
Grifola_frondosa	0
Obba_rivulosa	0
Amanita_polypyramis	0
Amanita_inopinata	0
Amanita_brunnescens	2
Volvariella_volvacea	0
Lepidopterella_palustris	0
Cenococcum_geophilum	2
Glonium_stellatum	2
Aspergillus_hancockii	0
Cladophialophora_carrionii	1
Diaporthe_helianthi	1
Fusarium_pseudograminearum	1
Komagataella_phaffii	0
Komagataella_pastoris	0
Paracoccidioides_brasiliensis	0
Aspergillus_cristatus	0
Cryptococcus_depauperatus	0
Hanseniaspora_osmophila	0
Hanseniaspora_uvarum	0
Hanseniaspora_opuntiae	0
Yarrowia_lipolytica	0
Coniochaeta_ligniaria	1
Rhizopogon_vesiculosus	0
Blastomyces_percursus	0
Emergomyces_pasteurianus	0
Aspergillus_brasiliensis	0
Trametes_pubescens	0
Penicillium_subrubescens	0
Phlebia_centrifuga	0
Neolecta_irregularis	0
Colletotrichum_chlorophyti	0
Pichia_membranifaciens	0
Smittium_mucronatum	0
Zancudomyces_culisetae	0
Smittium_culicis	0
Diplodia_seriata	0
Cyberlindnera_fabianii	0
Zygosaccharomyces_parabailii	0
Aspergillus_carbonarius	0
fungal_sp_14919	3
Aspergillus_oryzae	1
Candida_boidinii	0
Trichoderma_guizhouense	1
Penicillium_decumbens	0
Penicillium_vulpinum	1
Penicillium_polonicum	1
Penicillium_antarcticum	0
Penicillium_flavigenum	0
Penicillium_steckii	1
Penicillium_coprophilum	0
Penicillium_nalgiovense	1
Rachicladosporium_antarcticum	0
Enterocytozoon_hepatopenaei	0
Rhizopus_microsporus	0
Hepatospora_eriocheir	0
Enterospora_canceri	0
Trametes_coccinea	0
Catenaria_anguillulae	0
Anaeromyces_robustus	0
Basidiobolus_meristosporus	0
Hesseltinella_vesiculosa	0
Piromyces_finnis	0
Rhizoclosmatium_globosum	5
