DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	PPO domain count
Aspergillus_phoenicis	3
Polyporus_brumalis	1
Coleophoma_crateriformis	3
Coleophoma_cylindrospora	3
Xylaria_longipes	2
Diversispora_epigaea	0
Rhizophagus_sp_MUCL_43196	0
Glomus_cerebriforme	0
Gigaspora_rosea	0
Alternaria_sp_MG1	3
Aspergillus_sclerotialis	2
Oidium_neolycopersici	2
Golovinomyces_cichoracearum	2
Metschnikowia_bicuspidata	0
Caulochytrium_protostelioides	0
Fusarium_oxysporum	2
Coniochaeta_pulveracea	2
Meyerozyma_sp_JA9	0
Spathaspora_sp_JA1	0
Chaetothyriales_sp_CBS_134920	1
Aspergillus_sp_HF37	2
Fusarium_kuroshium	2
Hortaea_werneckii	4
Chaetothyriales_sp_CBS_135597	1
Chaetothyriales_sp_CBS_134916	1
Chaetothyriales_sp_CBS_132003	2
Ascobolus_immersus	1
Choiromyces_venosus	3
Terfezia_boudieri	2
Morchella_conica	1
Valsa_sordida	2
Cytospora_leucostoma	3
Valsa_malicola	3
Lentinus_tigrinus	1
Epichloe_festucae	1
Aspergillus_awamori	3
Saitozyma_podzolica	1
Fusarium_sp_AF-8	2
Fusarium_sp_AF-4	2
Fusarium_floridanum	2
Fusarium_sp_AF-6	2
Fusarium_ambrosium	2
Fusarium_euwallaceae	2
Jimgerdemannia_flammicorona	0
Endogone_sp_FLAS-F59071	0
Arthrobotrys_flagrans	1
Tubulinosema_ratisbonensis	0
Ascochyta_lentis	3
Xylaria_grammica	2
Coccidioides_immitis	3
Tremella_mesenterica	0
Candolleomyces_aberdarensis	3
Monosporascus_ibericus	2
Monosporascus_cannonballus	2
Monosporascus_sp_MC13-8B	2
Monosporascus_sp_5C6A	2
Monosporascus_sp_CRB-8-3	2
Monosporascus_sp_CRB-9-2	2
Monosporascus_sp_GIB2	2
Monosporascus_sp_mg162	2
Alternaria_gaisen	2
Alternaria_tenuissima	3
Metschnikowia_aff_pulcherrima	0
Dichomitus_squalens	2
Ordospora_colligata	0
Hamiltosporidium_magnivora	0
Hamiltosporidium_tvaerminnensis	0
Steccherinum_ochraceum	3
Pyricularia_sp_CBS_133598	2
Pyricularia_oryzae	3
Rickenella_mellea	4
Colletotrichum_spinosum	3
Colletotrichum_trifolii	3
Heliocybe_sulcata	1
Polyporus_arcularius	1
Pluteus_cervinus	13
Pterula_gracilis	0
Dendrothele_bispora	3
Coprinellus_micaceus	1
Botryotinia_calthae	2
Crucibulum_laeve	3
Venturia_nashicola	2
Fomitopsis_rosea	1
Dentipellis_fragilis	2
Hericium_alpestre	1
Orbilia_oligospora	3
Xylaria_hypoxylon	2
Ascodesmis_nigricans	2
Botrytis_tulipae	2
Botrytis_paeoniae	2
Botryotinia_narcissicola	2
Botrytis_hyacinthi	2
Botryotinia_convoluta	2
Phellinidium_pouzarii	1
Bondarzewia_mesenterica	2
Antrodiella_citrinella	2
Botrytis_galanthina	2
Aureobasidium_pullulans	2
Wallemia_ichthyophaga	0
Wallemia_mellicola	0
Wallemia_hederae	0
Candida_inconspicua	0
Cryomyces_minteri	3
Friedmanniomyces_endolithicus	2
Friedmanniomyces_simplex	1
Rhodotorula_sp_CCFEE_5036	1
Hortaea_thailandica	2
Pleurotus_ostreatoroseus	3
Colletotrichum_tanaceti	3
Metschnikowia_sp_JCM_33374	0
Zygosaccharomyces_mellis	0
Rhodotorula_diobovata	1
Synchytrium_endobioticum	0
Spizellomyces_sp_palustris	0
Chytriomyces_confervae	0
Powellomyces_hirtus	0
Monascus_purpureus	0
Colletotrichum_shisoi	3
Golovinomyces_magnicellulatus	2
Cordyceps_javanica	1
Auriculariopsis_ampla	1
Xylaria_flabelliformis	2
Venturia_effusa	2
Lachnellula_arida	2
Lachnellula_occidentalis	1
Lachnellula_subtilissima	2
Lachnellula_cervina	2
Lachnellula_suecica	2
Lachnellula_willkommii	2
Metarhizium_rileyi	2
Vanrija_humicola	0
Cordyceps_militaris	1
Cryptococcus_floricola	0
Puccinia_graminis	0
Monilinia_fructicola	2
Sordaria_macrospora	1
Sphaerosporella_brunnea	2
Trichomonascus_ciferrii	1
Aspergillus_terreus	4
Ceratobasidium_theobromae	2
Aspergillus_leporis	5
Aspergillus_parasiticus	5
Aspergillus_novoparasiticus	5
Aspergillus_minisclerotigenes	4
Aspergillus_avenaceus	4
Aspergillus_tamarii	5
Aspergillus_transmontanensis	5
Aspergillus_sergii	5
Aspergillus_arachidicola	5
Aspergillus_coremiiformis	2
Aspergillus_bertholletiae	5
Aspergillus_pseudocaelatus	4
Monilinia_laxa	2
Tilletia_laevis	2
Tilletia_walkeri	2
Talaromyces_marneffei	1
Helotiales_sp_DMI_Dod_QoI	2
Chalara_longipes	3
Gymnopus_androsaceus	0
Venturia_inaequalis	2
Colletotrichum_asianum	4
Gigaspora_margarita	0
Delphinella_strobiligena	2
Lizonia_empirigonia	3
Decorospora_gaudefroyi	3
Clathrospora_elynae	3
Bimuria_novae-zelandiae	4
Byssothecium_circinans	4
Aulographum_hederae	2
Amniculicola_lignicola	3
Setomelanomma_holmii	3
Saccharata_proteae	2
Rhizodiscina_lignyota	1
Dothidotthia_symphoricarpi	2
Lophiotrema_nucula	2
Karstenula_rhodostoma	1
Lineolata_rhizophorae	2
Melanomma_pulvis-pyrius	2
Lophium_mytilinum	3
Massarina_eburnea	4
Ophiobolus_disseminans	3
Plenodomus_tracheiphilus	2
Patellaria_atrata	3
Pleomassaria_siparia	2
Piedraia_hortae	1
Polychaeton_citri	2
Sporormia_fimetaria	1
Polyplosphaeria_fusca	2
Teratosphaeria_nubilosa	1
Myriangium_duriaei	3
Zopfia_rhizophila	5
Delitschia_confertaspora	3
Cercospora_zeae-maydis	2
Elsinoe_ampelina	1
Viridothelium_virens	2
Didymosphaeria_enalia	3
Ampelomyces_quisqualis	2
Mucor_lusitanicus	0
Trichodelitschia_bisporula	2
Lophiostoma_macrostomum	2
Microthyrium_microscopicum	2
Lentithecium_fluviatile	3
Tothia_fuscella	2
Saccharomyces_pastorianus	0
Massariosphaeria_phaeospora	2
Xylaria_multiplex	2
Didymella_keratinophila	2
Neopestalotiopsis_sp_37M	3
Penicillium_rubens	2
Didymella_heteroderae	2
Curvularia_kusanoi	2
Trichoderma_lentiforme	1
Talaromyces_pinophilus	1
Penicillium_rolfsii	2
Botryosphaeria_dothidea	6
Rhizopus_delemar	0
Rhizopus_arrhizus	0
Colletotrichum_gloeosporioides	3
Suillus_brevipes	1
Colletotrichum_camelliae	3
Dactylella_cylindrospora	2
Drechslerella_brochopaga	2
Arthrobotrys_entomopaga	2
Dactylellina_cionopaga	2
Penicillium_digitatum	2
Aspergillus_fumigatiaffinis	4
Fusarium_albosuccineum	2
Fusarium_austroafricanum	2
Ophiocordyceps_sinensis	3
Elsinoe_fawcettii	1
Ophiocordyceps_camponoti-floridani	3
Pleurotus_pulmonarius	5
Agrocybe_pediades	3
Cudoniella_acicularis	3
Penicillium_sp_str_12	2
Colletotrichum_viniferum	4
Colletotrichum_tropicale	4
Fusarium_graminum	2
Fusarium_gaditjirri	2
Fusarium_sarcochroum	2
Fusarium_zealandicum	2
Fusarium_decemcellulare	2
Fusarium_sp_NRRL_66182	2
Metarhizium_anisopliae	3
Galactomyces_reessii	0
Fusarium_anthophilum	2
Fusarium_austroamericanum	2
Geotrichum_candidum	0
Psilocybe_cf_subviscida	1
Tetrapyrgos_nigripes	2
Tulosesus_angulatus	2
Tricholomella_constricta	6
Leucoagaricus_leucothites	1
Gymnopus_confluens	1
Fusarium_pseudoanthophilum	2
Fusarium_napiforme	2
Fusarium_mexicanum	2
Fusarium_phyllophilum	2
Fusarium_pseudocircinatum	2
Fusarium_sp_NRRL_52700	2
Fusarium_globosum	2
Fusarium_denticulatum	2
Fusarium_circinatum	2
Fusarium_mundagurra	3
Fusarium_sp_NRRL_25303	2
Fusarium_heterosporum	2
Bipolaris_sorokiniana	2
Aspergillus_burnettii	5
Trichoderma_asperellum	1
Metarhizium_brunneum	3
Torulaspora_sp_CBS_2947	0
Fusarium_bulbicola	2
Fusarium_coicis	2
Candida_albicans	0
Tuber_brumale	2
Tuber_indicum	2
Colletotrichum_musicola	3
Colletotrichum_plurivorum	3
Aspergillus_hiratsukae	4
Aspergillus_felis	4
Pseudocercospora_fuligena	2
Mycena_venus	4
Mycena_sanguinolenta	5
Endocarpon_pusillum	4
Penicillium_crustosum	2
Stylonectria_norvegica	1
Cylindrodendrum_hubeiense	1
Neopestalotiopsis_clavispora	3
Fusarium_sp_DS_682	3
Thelohania_contejeani	0
Cucumispora_dikerogammari	0
Penicillium_sp_RFL-2021a	2
Apophysomyces_ossiformis	0
Entomophthora_muscae	0
Botrytis_aclada	2
Sclerotium_cepivorum	2
Botryotinia_globosa	2
Botrytis_squamosa	2
Botrytis_elliptica	2
Athelia_sp_TMB	5
Paxillus_ammoniavirescens	1
Acephala_macrosclerotiorum	4
Thelephora_ganbajun	1
Tricholoma_matsutake	1
Wilcoxina_mikolae	4
Melanogaster_broomeanus	2
Metschnikowia_persimmonesis	0
Lyophyllum_atratum	2
Mycena_galopus	2
Boletus_edulis	1
Pholiota_molesta	1
Crassisporium_funariophilum	2
Lactarius_quietus	1
Clavulina_sp_PMI_390	4
Ramaria_rubella	4
Amanita_rubescens	2
Ceratobasidium_sp_AG-I	3
Xerocomus_badius	1
Russula_emetica	1
Russula_ochroleuca	1
Hysterangium_stoloniferum	1
Trichophaea_hybrida	2
Terfezia_claveryi	2
Tirmania_nivea	2
Kalaharituber_pfeilii	1
Gautieria_morchelliformis	3
Lentinula_edodes	2
Pholiota_conissans	2
Pleurotus_eryngii	5
Dissophora_ornata	0
Haplosporangium_gracile	0
Flammula_alnicola	2
Entomortierella_lignicola	0
Haplosporangium_bisporale	0
Mucidula_mucida	0
Infundibulicybe_gibba	3
Gymnopilus_junonius	3
Cyathus_striatus	3
Rhodocollybia_butyracea	1
Hymenopellis_radicata	1
Panaeolus_papilionaceus	1
Mortierella_sp_GBA35	0
Mortierella_sp_14UC	0
Mortierella_sp_AD031	0
Mortierella_sp_GBA39	0
Linnemannia_schmuckeri	0
Haplosporangium_sp_Z_11	0
Haplosporangium_sp_Z_767	0
Podila_verticillata	0
Haplosporangium_sp_Z_27	0
Lepista_nuda	4
Macrolepiota_fuliginosa	1
Crepidotus_variabilis	2
Mortierella_alpina	0
Podila_horticola	0
Mortierella_sp_AD094	0
Entomortierella_beljakovae	0
Podila_epigama	0
Mortierella_sp_AD011	0
Lunasporangiospora_selenospora	0
Rhizophagus_clarus	0
Nosema_granulosis	0
Postia_placenta	1
Aspergillus_nanangensis	4
Linnemannia_zychae	0
Modicella_reniformis	0
Mortierella_antarctica	0
Entomortierella_chlamydospora	0
Podila_clonocystis	0
Gryganskiella_cystojenkinii	0
Podila_epicladia	0
Cronartium_quercuum	0
Thelephora_terrestris	1
Apophysomyces_sp_BC1015	0
Apophysomyces_sp_BC1021	0
Apophysomyces_sp_BC1034	0
Linnemannia_gamsii	0
Linnemannia_exigua	0
Dissophora_globulifera	0
Podila_humilis	0
Podila_minutissima	0
Gamsiella_multidivaricata	0
Mortierella_sp_GBA43	0
Mortierella_sp_NVP41	0
Actinomortierella_wolfii	0
Actinomortierella_ambigua	0
Mortierella_polycephala	0
Dictyocoela_roeselum	0
Dictyocoela_muelleri	0
Hyphodiscus_hymeniophilus	3
Kazachstania_exigua	0
Kazachstania_unispora	0
Candida_californica	0
Rhodotorula_mucilaginosa	1
Suillus_ampliporus	4
Astraeus_odoratus	1
Suillus_lakei	2
Suillus_occidentalis	1
Suillus_placidus	3
Suillus_variegatus	1
Suillus_tomentosus	1
Suillus_subluteus	1
Suillus_americanus	1
Suillus_decipiens	1
Suillus_hirtellus	1
Geosiphon_pyriformis	0
Aspergillus_fischeri	4
Suillus_cothurnatus	1
Umbelopsis_vinacea	0
Umbelopsis_isabellina	0
Thamnidium_elegans	0
Mucor_plumbeus	0
Suillus_weaverae	3
Suillus_spraguei	2
Scheffersomyces_stipitis	0
Ceratobasidium_sp_AG-Ba	8
Neocallimastix_sp_JGI-2020a	0
Fusarium_culmorum	2
Pneumocystis_wakefieldiae	0
Elsinoe_batatas	1
Histoplasma_capsulatum	2
Pneumocystis_canis	0
Pneumocystis_oryctolagi	0
Candida_tropicalis	0
Monilinia_vaccinii-corymbosi	2
Cadophora_malorum	2
Cadophora_sp_M221	3
Psilocybe_cubensis	2
Termitomyces_sp_Mn162	2
Yarrowia_sp_B02	0
Yarrowia_sp_E02	0
Yarrowia_sp_C11	0
Candida_metapsilosis	0
Pneumocystis_sp_macacae	0
Asterophora_parasitica	4
Sphagnurus_paluster	3
Termitomyces_sp_T112	3
Termitomyces_sp_T153	1
Fusarium_xylarioides	2
Encephalitozoon_hellem	0
Claviceps_capensis	1
Claviceps_monticola	1
Claviceps_pazoutovae	1
Claviceps_cyperi	1
Claviceps_sorghi	1
Claviceps_africana	1
Claviceps_arundinis	1
Claviceps_lovelessii	1
Claviceps_digitariae	1
Claviceps_spartinae	1
Claviceps_pusilla	1
Claviceps_maximensis	1
Claviceps_sp_LM458_group_G5	1
Claviceps_aff_humidiphila_group_G2b	1
Claviceps_sp_LM84_group_G4	1
Claviceps_sp_Clav32_group_G5	1
Claviceps_citrina	0
Claviceps_sp_LM77_group_G4	1
Claviceps_sp_LM78_group_G4	1
Claviceps_sp_LM218_group_G6	1
Claviceps_sp_LM220_group_G6	1
Claviceps_humidiphila	1
Claviceps_purpurea	1
Claviceps_sp_Clav50_group_G5	1
Claviceps_sp_LM454_group_G7	1
Claviceps_sp_LM219_group_G6	1
Claviceps_aff_purpurea	1
Boletus_reticuloceps	1
Tricholoma_furcatifolium	3
Arthromyces_matolae	2
Tephrocybe_sp_NHM501043	2
Blastosporella_zonata	2
Termitomyces_sp_T32_za158	2
Termitomyces_sp_Mi166_008	4
Termitomyces_sp_T159_Od127	1
Tephrocybe_rancida	7
Physcia_stellaris	1
Staphylotrichum_longicolle	1
Filobasidium_floriforme	0
Candida_subhashii	0
Ogataea_parapolymorpha	0
Candida_africana	0
Trichophyton_interdigitale	2
Butyriboletus_roseoflavus	1
Metarhizium_acridum	3
Bipolaris_maydis	2
Trichoderma_simmonsii	1
Ceratobasidium_sp_394	0
Ceratobasidium_sp_395	1
Ceratobasidium_sp_423	3
Ceratobasidium_sp_414	2
Serendipita_sp_396	2
Serendipita_sp_397	2
Serendipita_sp_398	2
Ceratobasidium_sp_428	3
Serendipita_sp_399	2
Serendipita_sp_401	3
Serendipita_sp_400	2
Serendipita_sp_405	2
Serendipita_sp_411	1
Tulasnella_sp_331	4
Tulasnella_sp_330	4
Tulasnella_sp_332	4
Tulasnella_sp_418	1
Tulasnella_sp_403	1
Tulasnella_sp_408	2
Tulasnella_sp_424	3
Tulasnella_sp_419	1
Tulasnella_sp_417	0
Tulasnella_sp_425	3
Tulasnella_sp_427	1
Tulasnella_sp_JGI-2019a	2
Serendipita_sp_407	3
Tulasnella_sp_UAMH_9824	2
Calycina_marina	0
Amylocarpus_encephaloides	1
Emericellopsis_atlantica	3
Linnemannia_hyalina	0
Pleurotus_cornucopiae	4
Ceratobasidium_sp_UAMH_11750	0
Ceratobasidium_sp_370	2
Ceratobasidium_sp_392	0
Alternaria_panax	3
Chiua_virens	1
Pseudotulostoma_volvatum	2
Aureobasidium_melanogenum	2
Aureobasidium_sp_EXF-3399	2
Phanerochaete_sordida	4
Trichoderma_gracile	1
Trichoderma_semiorbis	1
Glutinoglossum_americanum	2
Trichoglossum_hirsutum	2
Termitomyces_sp_cryptogamus	4
Metarhizium_humberi	3
Lanmaoa_asiatica	0
Fonsecaea_pedrosoi	3
Ogataea_philodendri	0
Ogataea_thermophila	0
Wickerhamomyces_mucosus	0
Wickerhamomyces_pijperi	0
Parastagonospora_nodorum	0
Batrachochytrium_salamandrivorans	0
Saccharomycodes_ludwigii	0
Trichoderma_cornu-damae	2
Chaetomium_sp_MPI-SDFR-AT-0129	2
Chaetomium_globosum	1
Halenospora_varia	3
Leptodontidium_sp_MPI-SDFR-AT-0119	4
Truncatella_angustata	4
Boeremia_exigua	2
Plectosphaerella_plurivora	2
Alternaria_rosae	3
Chaetomium_sp_MPI-CAGE-AT-0009	1
Thelonectria_olida	2
Ilyonectria_destructans	5
Ilyonectria_sp_MPI-CAGE-AT-0026	1
